X1,country,date,sm_plf,pred_arr,sd_arr,showup
10980,NL,2020-10-05,397.162142179669,522.969507850662,121.302701495364,0.7183811357255
11074,NL,2020-10-06,392.843452596354,501.261798907819,121.363515248338,0.718741288074877
11174,NL,2020-10-07,371.368522123472,505.010834472552,122.271216844427,0.72411689550537806
11268,NL,2020-10-08,358.606170745966,496.000826929394,120.144190481217,0.71152018005152
11366,NL,2020-10-09,359.030224726457,498.638777734443,121.595968865675,0.720117929250773
11471,NL,2020-10-10,365.550128009977,508.13072764718,123.910636110986,0.733825895058744
11576,NL,2020-10-11,373.356372239512,521.524311751347,127.176739567941,0.753168474258381
11686,NL,2020-10-12,315.664388219707,469.197031919159,114.416427748211,0.677599116080327
11780,NL,2020-10-13,319.114334767654,445.183555811552,111.793056089815,0.662062935202601
11884,NL,2020-10-14,337.39539317944,443.478639253125,111.364922952468,0.659527437100274
11985,NL,2020-10-15,352.660443408027,411.523464008751,114.768974983378,0.679686977933972
12091,NL,2020-10-16,361.940943513885,416.495713360894,116.095080105029,0.687540462577257
12210,NL,2020-10-17,360.429608310434,416.111621689534,115.988017410447,0.686906413877768
12322,NL,2020-10-18,365.153714070134,402.707412277156,117.157391702355,0.693831704259211
12426,NL,2020-10-19,423.244526557852,453.478336009133,131.927889630672,0.781305824342027
12525,NL,2020-10-20,405.116849677886,467.330878614187,135.957931568258,0.805172614351278
12619,NL,2020-10-21,333.833542185632,430.695618410833,136.205633020465,0.806639556541051
12720,NL,2020-10-22,302.961539741044,414.877139978895,138.797417918896,0.821988673716011
12823,NL,2020-10-23,281.820737278142,396.328379110271,139.609863008711,0.826800151277029
12930,NL,2020-10-24,266.283432204065,397.820407445182,140.135442004365,0.829912745070549
13036,NL,2020-10-25,253.487747773513,382.541726507702,141.396809330633,0.837382838326848
13135,NL,2020-10-26,245.200150098913,386.258003510588,142.770436504835,0.845517758961768
13232,NL,2020-10-27,239.027904542252,393.800140206351,145.558195304514,0.862027476453253
