"date","country","cases_metric"
2020-08-31,"AM",46.185
2020-09-01,"AM",46.089
2020-09-02,"AM",45.414
2020-09-03,"AM",48.596
2020-09-04,"AM",48.258
2020-09-05,"AM",48.692
2020-09-06,"AM",49.319
2020-09-07,"AM",0
2020-09-08,"AM",51.295
2020-09-09,"AM",51.826
2020-09-10,"AM",51.922
2020-09-11,"AM",0
2020-09-12,"AM",50.235
2020-09-13,"AM",0
2020-09-14,"AM",52.018
2020-09-15,"AM",54.188
2020-09-16,"AM",56.213
2020-09-17,"AM",0
2020-09-18,"AM",0
2020-09-19,"AM",67.831
2020-09-20,"AM",71.302
2020-09-21,"AM",75.641
2020-09-22,"AM",76.316
2020-09-23,"AM",74.629
2020-09-24,"AM",0
2020-09-25,"AM",0
2020-09-26,"AM",83.548
2020-09-27,"AM",92.467
2020-09-28,"AM",94.925
2020-09-29,"AM",97.48
2020-09-30,"AM",107.701
2020-10-01,"AM",119.657
2020-10-02,"AM",125.297
2020-10-03,"AM",132.047
2020-10-04,"AM",137.543
2020-10-05,"AM",149.258
2020-10-06,"AM",0
2020-10-07,"AM",153.404
2020-10-08,"AM",0
2020-10-09,"AM",174.664
2020-10-10,"AM",178.618
2020-10-11,"AM",183.728
2020-10-12,"AM",190.67
2020-10-13,"AM",199.782
2020-10-14,"AM",216.125
2020-10-15,"AM",234.734
2020-10-16,"AM",266.215
2020-10-17,"AM",307.242
2020-10-18,"AM",0
2020-10-19,"AM",0
2020-10-20,"AM",416.485
2020-10-21,"AM",440.06
2020-10-22,"AM",0
2020-10-23,"AM",0
2020-10-24,"AM",571.287
2020-10-25,"AM",603.732
2020-10-26,"AM",0
2020-10-27,"AM",0
2020-10-28,"AM",661.247
2020-10-29,"AM",680.772
2020-10-30,"AM",684.484
2020-10-31,"AM",0
2020-11-01,"AM",688.919
2020-08-06,"AO",0
2020-08-07,"AO",1.626
2020-08-08,"AO",1.695
2020-08-09,"AO",1.773
2020-08-10,"AO",2.056
2020-08-11,"AO",0
2020-08-12,"AO",0
2020-08-13,"AO",0
2020-08-14,"AO",0
2020-08-15,"AO",0
2020-08-16,"AO",0
2020-08-17,"AO",0
2020-08-18,"AO",0
2020-08-19,"AO",0
2020-08-20,"AO",0
2020-08-21,"AO",0
2020-08-22,"AO",0
2020-08-23,"AO",1.108
2020-08-24,"AO",1.152
2020-08-25,"AO",0
2020-08-26,"AO",0
2020-08-27,"AO",0
2020-08-28,"AO",0
2020-08-29,"AO",0
2020-08-30,"AO",0
2020-08-31,"AO",0
2020-09-01,"AO",0
2020-09-02,"AO",0
2020-09-03,"AO",1.934
2020-09-04,"AO",0
2020-09-05,"AO",0
2020-09-06,"AO",1.669
2020-09-07,"AO",1.482
2020-09-08,"AO",0
2020-09-09,"AO",0
2020-09-10,"AO",0
2020-09-11,"AO",0
2020-09-12,"AO",0
2020-09-13,"AO",0
2020-09-14,"AO",0
2020-09-15,"AO",0
2020-09-16,"AO",0
2020-09-17,"AO",2.534
2020-09-18,"AO",2.486
2020-09-19,"AO",0
2020-09-20,"AO",0
2020-09-21,"AO",0
2020-09-22,"AO",0
2020-09-23,"AO",0
2020-09-24,"AO",0
2020-09-25,"AO",2.982
2020-09-26,"AO",0
2020-09-27,"AO",3.351
2020-09-28,"AO",0
2020-09-29,"AO",0
2020-09-30,"AO",0
2020-10-01,"AO",2.647
2020-10-02,"AO",0
2020-10-03,"AO",0
2020-10-04,"AO",3.034
2020-10-05,"AO",0
2020-10-06,"AO",3.186
2020-10-07,"AO",0
2020-10-08,"AO",0
2020-10-09,"AO",0
2020-10-10,"AO",3.564
2020-10-11,"AO",0
2020-10-12,"AO",0
2020-10-13,"AO",0
2020-10-14,"AO",0
2020-10-15,"AO",0
2020-10-16,"AO",0
2020-10-17,"AO",5.177
2020-10-18,"AO",0
2020-10-19,"AO",0
2020-10-20,"AO",0
2020-10-21,"AO",0
2020-10-22,"AO",0
2020-10-23,"AO",0
2020-10-24,"AO",0
2020-10-25,"AO",0
2020-10-26,"AO",0
2020-10-27,"AO",0
2020-10-28,"AO",0
2020-10-29,"AO",0
2020-10-30,"AO",0
2020-10-31,"AO",7.515
2020-11-01,"AO",0
2020-08-06,"AR",131.763
2020-08-07,"AR",135.354
2020-08-08,"AR",140.263
2020-08-09,"AR",143.085
2020-08-10,"AR",140.911
2020-08-11,"AR",148.955
2020-08-12,"AR",0
2020-08-13,"AR",151.38
2020-08-14,"AR",151.332
2020-08-15,"AR",147.801
2020-08-16,"AR",0
2020-08-17,"AR",151.942
2020-08-18,"AR",0
2020-08-19,"AR",0
2020-08-20,"AR",139.346
2020-08-21,"AR",141.644
2020-08-22,"AR",147.315
2020-08-23,"AR",150.779
2020-08-24,"AR",150.409
2020-08-25,"AR",0
2020-08-26,"AR",0
2020-08-27,"AR",181.841
2020-08-28,"AR",187.78
2020-08-29,"AR",199.026
2020-08-30,"AR",0
2020-08-31,"AR",209.476
2020-09-01,"AR",0
2020-09-02,"AR",216.838
2020-09-03,"AR",218.048
2020-09-04,"AR",224.123
2020-09-05,"AR",220.858
2020-09-06,"AR",223.052
2020-09-07,"AR",222.416
2020-09-08,"AR",0
2020-09-09,"AR",226.933
2020-09-10,"AR",231.125
2020-09-11,"AR",230.742
2020-09-12,"AR",233.344
2020-09-13,"AR",236.037
2020-09-14,"AR",0
2020-09-15,"AR",244.773
2020-09-16,"AR",244.346
2020-09-17,"AR",0
2020-09-18,"AR",245.013
2020-09-19,"AR",0
2020-09-20,"AR",241.657
2020-09-21,"AR",239.681
2020-09-22,"AR",0
2020-09-23,"AR",0
2020-09-24,"AR",239.551
2020-09-25,"AR",241.973
2020-09-26,"AR",0
2020-09-27,"AR",0
2020-09-28,"AR",0
2020-09-29,"AR",0
2020-09-30,"AR",0
2020-10-01,"AR",0
2020-10-02,"AR",274.16
2020-10-03,"AR",0
2020-10-04,"AR",0
2020-10-05,"AR",0
2020-10-06,"AR",273.717
2020-10-07,"AR",0
2020-10-08,"AR",0
2020-10-09,"AR",0
2020-10-10,"AR",0
