,Country,Lag,AUC
308,MK,8,0.5344827586206897
309,MK,9,0.5896551724137931
310,MK,10,0.5310344827586206
311,MK,11,0.5310344827586206
312,MK,12,0.5310344827586206
313,MK,13,0.5114942528735632
314,MK,14,0.525287356321839
315,MK,15,0.5195402298850575
316,MK,16,0.6229885057471264
317,MK,17,0.5
318,MK,18,0.5
319,MK,19,0.5689655172413793
320,UA,0,0.5
321,UA,1,0.5
322,UA,2,0.5
323,UA,3,0.5
324,UA,4,0.5
325,UA,5,0.5
326,UA,6,0.5
327,UA,7,0.5
328,UA,8,0.5
329,UA,9,0.5
330,UA,10,0.5
331,UA,11,0.5
332,UA,12,0.5
333,UA,13,0.5
334,UA,14,0.5
335,UA,15,0.5
336,UA,16,0.5
337,UA,17,0.5
338,UA,18,0.5
339,UA,19,0.5
340,US,0,0.6231578947368421
341,US,1,0.5536842105263158
342,US,2,0.5536842105263158
343,US,3,0.5936842105263157
344,US,4,0.5515789473684212
345,US,5,0.5852631578947368
346,US,6,0.7157894736842105
347,US,7,0.7452631578947368
348,US,8,0.7705263157894737
349,US,9,0.7936842105263158
350,US,10,0.6947368421052631
351,US,11,0.6105263157894737
352,US,12,0.6105263157894737
353,US,13,0.6168421052631579
354,US,14,0.6073684210526316
355,US,15,0.5221052631578947
356,US,16,0.5242105263157895
357,US,17,0.5
358,US,18,0.6326315789473684
359,US,19,0.5747368421052632
360,PK,0,0.6397058823529412
361,PK,1,0.5852941176470587
362,PK,2,0.5558823529411764
363,PK,3,0.6338235294117648
364,PK,4,0.6823529411764706
365,PK,5,0.5573529411764706
366,PK,6,0.5411764705882353
367,PK,7,0.5411764705882353
368,PK,8,0.6470588235294117
369,PK,9,0.6470588235294117
370,PK,10,0.625
371,PK,11,0.6147058823529411
372,PK,12,0.5735294117647058
373,PK,13,0.5220588235294117
374,PK,14,0.5220588235294117
375,PK,15,0.5220588235294117
376,PK,16,0.5220588235294117
377,PK,17,0.55
378,PK,18,0.55
379,PK,19,0.55
380,HU,0,0.5
381,HU,1,0.5
382,HU,2,0.5
383,HU,3,0.5
384,HU,4,0.5
385,HU,5,0.5
386,HU,6,0.5
387,HU,7,0.5
388,HU,8,0.5
389,HU,9,0.5
390,HU,10,0.5
391,HU,11,0.5
392,HU,12,0.5
393,HU,13,0.5
394,HU,14,0.5
395,HU,15,0.5
396,HU,16,0.5
397,HU,17,0.5
398,HU,18,0.5
399,HU,19,0.5
400,CI,0,0.5333333333333333
401,CI,1,0.6261904761904762
402,CI,2,0.6261904761904762
403,CI,3,0.5333333333333333
404,CI,4,0.5666666666666667
405,CI,5,0.7488095238095238
406,CI,6,0.5547619047619048
407,CI,7,0.5583333333333333
408,CI,8,0.5511904761904762
409,CI,9,0.5511904761904762
410,CI,10,0.5583333333333333
411,CI,11,0.5511904761904762
412,CI,12,0.5583333333333333
413,CI,13,0.5511904761904762
414,CI,14,0.5511904761904762
415,CI,15,0.5404761904761906
416,CI,16,0.5404761904761906
417,CI,17,0.5404761904761906
418,CI,18,0.5404761904761906
419,CI,19,0.5238095238095237
420,AL,0,0.6476190476190476
421,AL,1,0.6761904761904761
422,AL,2,0.7071428571428572
423,AL,3,0.525
424,AL,4,0.55
425,AL,5,0.6023809523809525
426,AL,6,0.9666666666666668
427,AL,7,0.8607142857142858
428,AL,8,0.7845238095238094
429,AL,9,0.7845238095238094
430,AL,10,0.7547619047619047
431,AL,11,0.7249999999999999
432,AL,12,0.6916666666666667
433,AL,13,0.5404761904761906
434,AL,14,0.5404761904761906
435,AL,15,0.5404761904761906
436,AL,16,0.5404761904761906
437,AL,17,0.5404761904761906
438,AL,18,0.5404761904761906
439,AL,19,0.5404761904761906
440,LU,0,0.7083333333333333
441,LU,1,0.8385416666666667
442,LU,2,0.5859375
443,LU,3,0.5651041666666666
444,LU,4,0.8671875
445,LU,5,0.5963541666666667
446,LU,6,0.5
447,LU,7,0.5
448,LU,8,0.5833333333333334
449,LU,9,0.5
450,LU,10,0.5
451,LU,11,0.5
452,LU,12,0.5
453,LU,13,0.5
454,LU,14,0.5
455,LU,15,0.5
456,LU,16,0.5
457,LU,17,0.5
458,LU,18,0.5
459,LU,19,0.5
460,NO,0,0.5
461,NO,1,0.5
462,NO,2,0.5
463,NO,3,0.5
464,NO,4,0.5
465,NO,5,0.5
466,NO,6,0.5
467,NO,7,0.5
468,NO,8,0.5
469,NO,9,0.5
470,NO,10,0.5
471,NO,11,0.5
472,NO,12,0.5
473,NO,13,0.5
474,NO,14,0.5
475,NO,15,0.5333333333333333
476,NO,16,0.5333333333333333
477,NO,17,0.5
478,NO,18,0.5
479,NO,19,0.5
480,SI,0,0.5
481,SI,1,0.5
482,SI,2,0.5
483,SI,3,0.5
484,SI,4,0.5
485,SI,5,0.5
486,SI,6,0.5
487,SI,7,0.5
488,SI,8,0.5
489,SI,9,0.5
490,SI,10,0.5
491,SI,11,0.5
492,SI,12,0.5
493,SI,13,0.5
494,SI,14,0.5
495,SI,15,0.5
496,SI,16,0.5
497,SI,17,0.5
498,SI,18,0.5
499,SI,19,0.5
500,DK,0,0.5185185185185185
501,DK,1,0.5185185185185185
502,DK,2,0.6045751633986929
503,DK,3,0.7788671023965141
504,DK,4,0.8671023965141611
505,DK,5,0.8997821350762527
506,DK,6,0.9542483660130718
507,DK,7,0.9586056644880174
508,DK,8,0.962962962962963
509,DK,9,0.962962962962963
510,DK,10,0.9564270152505446
511,DK,11,0.962962962962963
512,DK,12,0.9586056644880174
513,DK,13,0.9629629629629629
514,DK,14,0.9607843137254901
515,DK,15,0.9607843137254901
516,DK,16,0.6285403050108933
517,DK,17,0.6252723311546842
518,DK,18,0.6056644880174292
519,DK,19,0.6056644880174292
520,PT,0,0.5
521,PT,1,0.5
522,PT,2,0.5
523,PT,3,0.5
524,PT,4,0.5
525,PT,5,0.5
526,PT,6,0.5
527,PT,7,0.5
528,PT,8,0.5
529,PT,9,0.5
530,PT,10,0.5
531,PT,11,0.5
532,PT,12,0.5
533,PT,13,0.5
534,PT,14,0.5
535,PT,15,0.5
536,PT,16,0.5
537,PT,17,0.5
538,PT,18,0.5
539,PT,19,0.5
540,FR,0,0.5
541,FR,1,0.5
542,FR,2,0.5
543,FR,3,0.5
544,FR,4,0.5
545,FR,5,0.5
546,FR,6,0.6125
547,FR,7,0.696875
548,FR,8,0.9375
549,FR,9,0.9406249999999999
550,FR,10,0.825
551,FR,11,0.8
552,FR,12,0.525
553,FR,13,0.525
554,FR,14,0.525
555,FR,15,0.525
556,FR,16,0.85625
557,FR,17,0.85625
558,FR,18,0.85625
559,FR,19,0.85625
560,IL,0,0.7428571428571429
561,IL,1,0.719047619047619
562,IL,2,0.7214285714285714
563,IL,3,0.7654761904761904
564,IL,4,0.7678571428571428
565,IL,5,0.7714285714285714
566,IL,6,0.7738095238095237
567,IL,7,0.7857142857142857
568,IL,8,0.7547619047619047
569,IL,9,0.7642857142857142
570,IL,10,0.7404761904761904
571,IL,11,0.7309523809523809
572,IL,12,0.7238095238095238
573,IL,13,0.7047619047619047
574,IL,14,0.6047619047619048
575,IL,15,0.6904761904761905
576,IL,16,0.7142857142857143
577,IL,17,0.7
578,IL,18,0.5976190476190476
579,IL,19,0.5166666666666666
580,CY,0,0.5806451612903225
581,CY,1,0.5669975186104219
582,CY,2,0.531017369727047
583,CY,3,0.5260545905707197
584,CY,4,0.5161290322580646
585,CY,5,0.5186104218362282
586,CY,6,0.6054590570719602
587,CY,7,0.7096774193548386
588,CY,8,0.707196029776675
589,CY,9,0.6575682382133996
590,CY,10,0.6339950372208437
591,CY,11,0.6265508684863524
